Name	Radius	Mass	T_eff (Host Star)	Transit Duration
KOI-3680.01	10.42465076	699.3950293	5926	26813.8755616
KOI-3681.01	21.61743368	1335.208692	6382	75091.0250659
KOI-372 b	9.678465233	1033.197202	5820	31647.8879115
KOI-423 b	12.18038142	6072.020482	6350	18090.7605727
KOI-523.02	2.900028109	1.700801549	6197	18904.3248335
KOI-523.01	7.100065034	6.3009134	6197	20845.2213071
KOI-680 b	21.83690002	267.0417385	6090	32236.8251036
KOI-806.03	3.89552739	11.30031623	5498	16632.8336029
KOI-806.02	12.30002349	640.0252927	5498	21151.5320844
KOI-806.01	8.80001832	23.10101782	5498	28216.5098684
KOI-830 b	11.85118192	403.741676	5150	7216.49848142
Lupus-TR 3b	9.766251766	257.5045335	5000	7659.14275891
OGLE-TR-10 b	18.87410454	216.1766454	6075	11560.0049916
OGLE-TR-111 b	11.81826197	171.669689	5070	7983.70584978
OGLE-TR-113 b	11.53295574	400.5626077	4790	5365.22703671
OGLE-TR-132 b	13.46425946	371.9509929	6210	8585.51428611
OGLE-TR-182 b	16.13077539	336.9812414	5924	9784.27818389
OGLE-TR-211 b	13.8263789	238.4301236	6325	13023.6055087
OGLE-TR-56 b	13.16797991	413.2788809	5940	7556.70706825
OGLE2-TR-L9 b	17.71093298	1379.715649	6933	10198.7602272
PH-2 b	9.875984932	25432.54652	5629	37900.1160134
POTS-1 b	10.32589091	734.3647808	4400	5511.93641199
PTFO 8-8695 b	20.95903469	953.7204945	3470	6639.17541577
Qatar-1 b	12.77294051	422.8160859	4910	5370.89034624
Qatar-2 b	12.55347418	790.6342899	4645	4913.59657639
SWEEPS-11	12.39984775	3083.696266	6170.683035	9660.57903245
SWEEPS-4	8.888386439	1208.04596	6670.403243	10026.6336907
TrES-1 b	12.05967493	241.9270988	5250	7262.27962945
TrES-2	12.82780709	398.3372599	5850	7715.81781452
TrES-3 b	14.32017815	607.2020482	5720	5486.01501463
TrES-4 A b	20.16895589	157.0459748	6295	13807.7434916
TrES-5 b	13.26673976	565.2383464	5171	5722.18551649
WASP-1 b	16.2734285	271.4924341	6160	10535.0794205
WASP-10 b	11.85118192	972.7949044	4675	7235.27540994
WASP-100 b	18.54490504	645.3508679	6900	13803.1197113
WASP-101 b	15.47237639	158.9534157	6400	10133.1449701
WASP-103 b	17.5902265	467.3230423	6110	7354.77769117
WASP-104 b	12.47666096	404.3774897	5475	6414.2512032
WASP-106 b	11.9060485	611.9706506	6055	15626.3339462
WASP-108 b	14.0897385	283.5728937	6000	9064.71364692
WASP-109 b	15.83449584	289.2952167	6520	11722.8165655
